family,domain,system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,code_consistency_mean,code_consistency_ci95_low,code_consistency_ci95_high,vacuity_mean,vacuity_ci95_low,vacuity_ci95_high,proof_utility_mean,proof_utility_ci95_low,proof_utility_ci95_high,n_instances
arrays_binary_search,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,3
arrays_binary_search,arrays,full_method_v1,0.6875,0.5625,0.8125,0.8750,0.7917,0.9583,0.0000,0.0000,0.0000,0.2707,0.2530,0.2884,6
arrays_binary_search,arrays,naive_concat_v1,0.9062,0.8750,0.9688,1.0000,1.0000,1.0000,0.1250,0.0417,0.1667,0.3017,0.2973,0.3106,4
arrays_binary_search,arrays,text_only_v1,0.8571,0.8571,0.8571,1.0000,1.0000,1.0000,0.2857,0.2857,0.2857,0.2947,0.2947,0.2947,5
arrays_max_subarray,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,2
arrays_max_subarray,arrays,full_method_v1,0.9000,0.9000,0.9000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3008,0.3008,0.3008,5
arrays_max_subarray,arrays,naive_concat_v1,0.6591,0.5834,0.7348,1.0000,1.0000,1.0000,0.0909,0.0909,0.0909,0.2667,0.2560,0.2774,6
arrays_max_subarray,arrays,text_only_v1,0.8215,0.7024,0.9405,1.0000,1.0000,1.0000,0.0714,0.0238,0.1191,0.2897,0.2728,0.3066,6
dp_knapsack_01,dp,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,5
dp_knapsack_01,dp,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,4
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,5
dp_knapsack_01,dp,text_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,5
dp_longest_common_subsequence,dp,code_only_v1,0.8125,0.7500,0.9375,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2884,0.2796,0.3062,4
dp_longest_common_subsequence,dp,full_method_v1,0.8042,0.8000,0.8125,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2873,0.2867,0.2884,3
dp_longest_common_subsequence,dp,naive_concat_v1,0.5705,0.5568,0.5841,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2541,0.2522,0.2560,6
dp_longest_common_subsequence,dp,text_only_v1,0.5590,0.5567,0.5614,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2525,0.2522,0.2528,6
graph_bfs_shortest_path,graph,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,4
graph_bfs_shortest_path,graph,full_method_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5400,0.3150,0.7650,4
graph_bfs_shortest_path,graph,naive_concat_v1,0.8200,0.7000,0.9400,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2895,0.2725,0.3065,5
graph_bfs_shortest_path,graph,text_only_v1,0.6190,0.5873,0.6508,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2609,0.2565,0.2655,6
graph_dijkstra,graph,code_only_v1,0.9167,0.9167,0.9167,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7363,0.7363,0.7363,6
graph_dijkstra,graph,full_method_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,4
